Surge2 leak,Surge3 loss,Surge3 leak,CO2,C2H4,C2H2,C2H6,CH4,CO,C3H6,C3H8
0.0000,0.3815,0.0000,1607.0000,5.0000,0.0000,26.0000,56.0000,184.0000,22.0000,28.0000
0.0000,31.3000,0.0000,7728.0000,6.0000,0.0000,244.0000,210.0000,504.0000,22.0000,160.0000
0.0000,27.8000,0.0000,3163.0000,5.0000,0.0000,14.0000,51.0000,318.0000,18.0000,19.0000
10.0000,29.4000,10.0000,8.0000,0.0000,47.0000,46.0000,322.0000,57.0000,53.0000,10.0000
10.0000,19.9000,10.0000,5.0000,0.0000,87.0000,56.0000,320.0000,20.0000,69.0000,8.0000
0.0000,45.3000,0.0000,3266.0000,4.0000,0.0000,0.0000,12.0000,522.0000,0.0000,0.0000
0.0000,49.0000,0.0000,6042.0000,7.0000,0.0000,5.0000,29.0000,597.0000,14.0000,0.0000
10.0000,103.2000,10.0000,6629.0000,5.0000,0.0000,7.0000,37.0000,492.0000,15.0000,0.0000
10.0000,40.9000,10.0000,3110.0000,3.0000,0.0000,0.0000,8.0000,450.0000,0.0000,0.0000
0.0000,63.7000,0.0000,2953.0000,6.0000,0.0000,6.0000,28.0000,549.0000,15.0000,0.0000
0.0000,86.6000,0.0000,2259.0000,3.0000,0.0000,0.0000,9.0000,662.0000,0.0000,0.0000
0.0000,59.7000,0.0000,2229.0000,4.0000,0.0000,0.0000,10.0000,1080.0000,0.0000,0.0000
0.0000,63.2000,0.0000,3706.0000,4.0000,0.0000,4.0000,21.0000,197.0000,15.0000,14.0000
0.0000,18.3000,0.0000,6074.0000,3.0000,0.0000,4.0000,23.0000,269.0000,15.0000,14.0000
0.0000,46.4000,0.0000,3632.0000,3.0000,0.0000,5.0000,27.0000,378.0000,16.0000,14.0000
0.0000,27.2000,0.0000,2908.0000,7.0000,0.0000,0.0000,3.0000,290.0000,0.0000,0.0000
0.0000,27.7000,0.0000,13445.0000,46.0000,0.0000,5.0000,13.0000,812.0000,44.0000,25.0000
0.0000,23.3000,0.0000,724.0000,3.0000,0.0000,0.0000,6.0000,204.0000,0.0000,0.0000
